FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y
15,14,1773.2560073937154,1030.4510166358596,440.6913696060038,961.3212945590994,1627.7565656565657,964.2505050505051,1042.6924528301886,962.3783018867924,1146.1258309591642,925.582621082621,2024.9491758241759,812.7472527472528,910.2213068181818,748.0147727272728,1481.4391634980989,720.4553231939163,2246.6889763779527,642.8059617547807,1737.3921568627452,616.7340686274509,1972.5538535956143,451.70638503708483,1009.3048469387755,268.07270408163276,2144.781722933644,204.6862630966241,1971.3908188585608,50.739454094292796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,14,1773.300928074246,1067.9180974477958,441.76644736842104,998.9511278195489,1628.7454545454545,1001.710101010101,1045.9184060721063,998.8387096774193,1148.544315992293,963.4017341040462,2024.1957514846963,850.9769301050708,911.5426421404683,785.6045150501673,1482.3918181818183,758.1318181818182,2247.70696937698,680.5295670538543,1738.4614935822638,654.2234539089849,1972.269800386349,490.8290405666452,1012.6085271317829,305.90697674418607,2145.285547785548,242.41025641025635,1972.232098765432,89.32469135802467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,16,1773.3301712170291,1105.0520592318371,443.08399625643426,1036.2786616752455,1629.818825910931,1038.9716599190283,1049.210944808232,1035.0837231057062,1151.066413662239,1000.6593927893739,2023.2985414767547,889.0173199635369,912.7408435072142,823.3243618201998,1483.3195555555556,795.1755555555555,2248.794294294294,718.1326326326326,1739.4897959183672,691.1602040816326,1972.0356116256787,529.8749600766529,1015.9316185696362,343.5526976160602,2145.7234891676167,280.1431014823261,1973.1977886977886,127.62530712530702,992.4217809867629,48.38808664259932,282.9417808219178,43.83789954337908,NaN,NaN,NaN,NaN,NaN,NaN
18,18,1773.2524249422634,1142.205311778291,444.3190298507463,1073.6035447761194,1630.724120603015,1075.9241206030151,1052.4288389513108,1071.126404494382,1153.467105263158,1037.9276315789473,2022.3828623518687,926.92935278031,913.9487038058467,861.0546056260341,1484.0911504424778,832.558407079646,2249.658143939394,755.6448863636364,1740.5095877277085,727.6543624161073,1971.7759381898454,568.9033427940712,1019.2378277153558,381.2415730337078,2146.295045045045,317.7601351351351,1974.1320868516284,166.06574185765976,995.0692124105012,86.16348448687359,281.5,81.45045045045049,688.0251487290427,61.76717144402369,1010.7727272727273,21.233415233415144,NaN,NaN
19,18,1773.04017649791,1179.0406409660939,445.7834978843442,1110.5521861777152,1631.6629098360656,1112.923155737705,1055.7702188392007,1107.104186489058,1155.859657469077,1075.0718363463368,2021.2988084326307,964.7832263978003,915.297619047619,898.6373200442968,1485.0124555160141,870.0516014234876,2250.417525773196,793.0726335520151,1741.5735970561177,764.5193192272309,1971.3932619647355,608.221032745592,1022.5591939546599,419.01763224181366,2146.7018244013684,355.40992018244015,1975.0621156211562,204.64883148831495,997.8815950920246,124.00429447852753,280.1943181818182,119.09659090909099,690.0259421081377,99.8047515019116,1012.875,58.73358585858591,NaN,NaN
20,19,1772.976749647722,1215.684124001879,447.26465028355386,1147.2296786389413,1632.4626556016597,1149.603734439834,1059.0472972972973,1142.7171814671815,1158.3344693281401,1111.8398247322298,2020.1752886836027,1002.3799076212472,916.5580195258019,935.9775453277546,1485.8223508459484,907.23374888691,2251.086011342155,830.5056710775048,1742.4102447869448,801.1799637352674,1970.9934431229033,647.8851784080513,1025.733716475096,456.86015325670496,2147.3061926605506,393.0435779816514,1975.96875,243.0675000000001,1000.4621212121212,161.94823232323233,278.8126436781609,156.75517241379316,691.8950276243094,137.80220994475144,1014.9404145077721,95.98704663212425,946.2212681638044,44.921400264200884
21,19,1772.7193149381542,1252.2978116079923,448.7621544327931,1183.9938036224976,1633.2951933124348,1186.2011494252874,1062.3011695906432,1178.2212475633528,1160.5936883629192,1148.5759368836293,2018.9741740344346,1039.8662168450442,917.9651489600899,973.3220910623945,1486.4689497716895,944.1538812785388,2251.5521327014217,867.5739336492891,1743.1871559633028,837.7990825688073,1970.5425531914893,687.0913727776159,1028.9888304862025,494.5749014454665,2147.7535211267605,430.61267605633805,1976.9431524547804,281.43152454780363,1003.2073490813648,199.91601049868768,277.4695193434936,194.5515826494725,693.8034090909091,175.90795454545446,1017.2154362416107,133.43288590604016,948.6156462585034,83.69591836734685
22,18,450.3427342256214,1220.552103250478,1634.1485355648535,1222.4100418410042,1065.6599607458293,1213.5402355250246,1162.9596211365902,1185.1141575274178,2017.694288389513,1077.3281835205992,919.3947368421053,1010.6618350689558,1487.3052536231885,981.0398550724638,2252.0263662511984,904.9630872483222,1744.007393715342,874.3743068391867,1969.9044158747904,725.5681945220794,1032.3423076923077,532.375641025641,2148.2923875432525,468.4123414071511,1977.9993581514761,319.95699614890884,1006.106914212548,237.84186939820734,276.27893518518516,232.37847222222217,695.7899774774775,214.02252252252242,1019.3864229765013,170.99477806788514,951.2845744680851,122.498670212766,NaN,NaN
23,18,452.1890796375775,1256.712684787792,1634.8550051599586,1258.7125902992775,1068.9753623188406,1248.4748792270532,1165.3271728271727,1221.501998001998,2016.3329466357309,1114.408120649652,920.7886597938144,1047.5699359152968,1488.070784490532,1017.7596934174933,2252.3992467043313,941.8634651600753,1744.8494525547446,910.478102189781,1969.3461538461538,764.3177850518276,1035.6556662515566,570.2359900373599,2148.8010033444816,506.0841694537347,1979.0824039653037,358.22614622057006,1008.9399008674102,275.78872366790574,274.8762711864407,270.02655367231637,697.559510567297,252.21968854282545,1021.5496815286624,208.49108280254768,953.8324937027708,161.09319899244338,NaN,NaN
24,15,1167.731079717457,1257.2275479313823,2015.1321195144724,1151.2553688141923,922.2962085308056,1084.3525229997213,1488.728828828829,1054.3198198198197,2252.5075400565506,978.7158341187559,1745.5931734317344,946.8062730627306,1968.6311740890687,802.7987854251012,1039.123910336239,608.057907845579,2149.3662983425415,543.8325966850829,1980.2021013597034,396.5667490729295,1011.8055214723927,313.7245398773006,273.65968289920727,307.7853907134768,699.5251537171604,290.3272778088317,1023.7147395171537,246.0057179161372,956.7374371859296,199.640703517588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
