FrameNr,NumberMidPoints,MidPointX_1,MidPointY_1,Length_1,Width_1,MidPointX_2,MidPointY_2,Length_2,Width_2,MidPointX_3,MidPointY_3,Length_3,Width_3,MidPointX_4,MidPointY_4,Length_4,Width_4,MidPointX_5,MidPointY_5,Length_5,Width_5,MidPointX_6,MidPointY_6,Length_6,Width_6,MidPointX_7,MidPointY_7,Length_7,Width_7,MidPointX_8,MidPointY_8,Length_8,Width_8,MidPointX_9,MidPointY_9,Length_9,Width_9,MidPointX_10,MidPointY_10,Length_10,Width_10,MidPointX_11,MidPointY_11,Length_11,Width_11,MidPointX_12,MidPointY_12,Length_12,Width_12,MidPointX_13,MidPointY_13,Length_13,Width_13,MidPointX_14,MidPointY_14,Length_14,Width_14,MidPointX_15,MidPointY_15,Length_15,Width_15,MidPointX_16,MidPointY_16,Length_16,Width_16,MidPointX_17,MidPointY_17,Length_17,Width_17,MidPointX_18,MidPointY_18,Length_18,Width_18,MidPointX_19,MidPointY_19,Length_19,Width_19,MidPointX_20,MidPointY_20,Length_20,Width_20
11,17,1002.9257425742575,1237.6930693069307,24.955241400044212,20.651679882373255,840.0651105651106,1236.1707616707617,25.03813867971892,20.729614894460116,1042.881188118812,1186.6608910891089,24.710416185064876,20.84936187823583,980.5123456790124,1143.383950617284,24.439299305841388,21.113544083949463,780.7602409638554,1136.143373493976,24.955212763452632,21.21532264857364,829.4512195121952,1040.6756097560976,24.41447599870633,21.40633403557084,1160.8247058823529,954.2341176470588,25.19156211139231,21.498839554592088,432.86690647482015,877.4304556354916,25.05540067899806,21.209933893591423,1074.7753623188405,755.6062801932367,24.752385041286523,21.35037611070041,1653.0492610837439,735.7266009852217,23.648410134315593,21.871786899242764,1094.8333333333333,691.3507462686567,23.852207754640258,21.474100344501206,969.3836104513064,634.896674584323,25.09269765586911,21.379110103730206,995.921052631579,469.26794258373207,25.1701257258706,21.197884979242822,887.7518159806295,410.4176755447943,24.553282500227606,21.44566269667058,913.1341463414634,322.639024390244,24.639116545869154,21.248464774938125,1035.5676328502416,241.33333333333326,24.608605494982683,21.434663459657123,898.3422330097087,163.82281553398047,24.68748957016559,21.28393627523068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,17,1002.0355329949239,1279.6446700507613,24.348381433109754,20.6257251666662,838.3683544303798,1278.4139240506329,24.523923684320543,20.552965019659442,1042.0714285714287,1228.2704081632653,24.22543072507605,20.635797246745362,981.1211340206186,1184.5463917525774,23.982755195066034,20.641802637339488,779.6475,1179.17,24.550274321500318,20.779642218745852,826.2715736040609,1078.6954314720813,23.91937946117375,20.998938163633518,1160.480487804878,996.1414634146341,24.37818333290645,21.421947778661412,427.85235732009926,918.408188585608,24.308557321837885,21.152992872416036,1074.1506329113924,800.0949367088608,23.85033630082386,21.15622489633451,1656.6802030456852,770.7081218274112,23.215121214420012,21.62692105374949,1094.1387434554974,723.6413612565445,23.147054628709554,21.021673228472007,967.9343434343434,679.209595959596,24.197483081070665,20.855754068830436,995.0586034912718,513.1508728179551,24.625058972009736,20.762768503034028,886.2146464646464,451.52272727272725,24.07984545524024,20.995946040283894,911.8925,363.2774999999999,24.216892947794957,21.053386804859702,1035.0929648241206,283.9246231155778,24.442454130779634,20.77313600738487,896.8715012722646,207.61959287531818,24.083109595536953,20.821777675244743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,17,1001.1523929471033,1321.4596977329975,24.669017614450006,20.52753115440963,836.875,1320.6175,24.893565068955784,20.47924603489259,1041.248717948718,1269.8538461538462,24.345283724684496,20.43592174039947,981.806905370844,1225.492327365729,24.288036126117497,20.54625323780967,778.3973105134475,1222.3728606356967,24.969051391863847,20.907569317740517,823.1801007556675,1116.6813602015113,24.128876210092912,20.993376604529594,1160.1177884615386,1038.1298076923076,24.98976758167851,21.233607407159546,423.1391509433962,959.4457547169811,25.13041893273278,21.494875761324764,1073.6234866828088,844.9915254237288,24.56110292486286,21.415831556379878,1660.3927680798006,805.8940149625935,23.67674605495552,21.584505665208148,1093.5050761421319,756.1192893401015,23.403029780869577,21.44403775877645,966.485401459854,723.6727493917275,24.514023667632188,21.36196575516446,994.124703087886,557.4049881235154,25.032093326349923,21.45433440492742,884.5528846153846,492.8293269230769,24.638925881166784,21.512720178984658,910.5841346153846,404.0961538461538,24.564979091001874,21.571719372060358,1034.6558752997603,326.5239808153476,24.981721091553432,21.28115031957721,895.1569343065694,251.85523114355237,24.77349604162764,21.165711277580154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,18,835.2023498694517,1362.38772845953,23.850391028011398,20.485598460024466,1000.4414893617021,1362.8909574468084,24.001416677816245,19.990044289687223,1040.6013333333333,1310.8973333333333,23.81368944305466,20.089116113479534,982.2579787234042,1266.0797872340427,23.645868403406617,20.282154163839028,777.1717557251908,1265.1921119592876,24.377946769559223,20.564347412611458,820.015306122449,1154.3239795918366,24.225753042576773,20.62297960255772,1159.845088161209,1079.8324937027708,24.327990556105856,20.799658713090945,418.39800995024876,1000.1069651741293,24.17710993569587,21.188879279620654,1073.0134474327629,889.5537897310513,24.954930762345132,20.926213236702573,1663.8113924050633,841.0746835443038,23.51417401271454,21.435210546387065,1092.8629242819843,788.5835509138382,23.162317558284187,21.07460803026752,965.1142131979695,767.9923857868021,24.184645926457588,20.771658268836703,993.1560975609756,601.3243902439025,24.54812675232807,21.314802915774504,882.9611528822055,533.9561403508771,24.22205279780771,21.018768099682223,909.32,444.6424999999999,24.05402683323154,21.20095500457899,1034.1315789473683,369.0739348370928,24.506816697970127,20.750187041377494,893.4572864321608,295.78391959799,23.815036764631806,21.314761015701734,629.9701492537314,25.870646766169102,24.389806510001527,21.02639047790869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,18,833.7216494845361,1403.9407216494844,24.266541844519306,20.39668176448609,999.4657894736843,1404.171052631579,24.03732983980544,20.213437665598708,1039.7901554404145,1351.8264248704663,24.136806636002657,20.383371712994474,776.1265664160401,1307.8784461152882,24.570371606732117,20.73183882740508,982.7838541666666,1306.6328125,24.088948382614138,20.313817175762583,816.8502538071066,1191.8705583756346,24.134036366857213,20.802860072415992,1159.3731707317072,1121.6048780487804,24.628000309128065,21.213294167457807,413.8048780487805,1040.9951219512195,24.674851510076202,21.17489804834568,1072.4496402877699,934.425659472422,24.973613307014435,21.28166020350945,1667.4088669950738,876.4211822660099,24.147956998790654,21.412522274988447,1092.2729591836735,821.109693877551,23.376197851151368,21.379118358901476,963.854114713217,812.3054862842893,24.491299635892428,20.8750809788017,992.3042452830189,645.5943396226415,25.26682815331588,21.395683520731296,881.3157248157248,575.2395577395578,24.457872179212774,21.21718987560612,908.0767326732673,485.2351485148515,24.42190691865852,21.096136716612246,1033.637254901961,411.65441176470586,24.46295237284987,21.27455148718034,891.7899262899263,339.8046683046682,24.395179362706422,21.284106801979842,626.6975609756098,69.51707317073169,24.595017759755677,21.282704552218753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,18,832.1945169712794,1445.103133159269,23.850118333096532,20.494779075922274,998.6940700808625,1444.9312668463613,23.366398927469415,20.269785380803064,1039.0170603674542,1392.3136482939633,23.84557580137527,20.36398152448456,775.0279187817259,1350.1319796954315,24.36942955449226,20.590080348106472,983.3994565217391,1346.7146739130435,23.519465101150168,19.961397706744382,813.9132653061224,1229.2219387755101,24.328716379876827,20.51631958677403,1159.0329949238578,1162.7994923857868,24.15464274755732,20.80546037783079,409.31909547738695,1081.140703517588,24.16795389532544,20.99376010635895,1071.7822384428223,978.6240875912408,25.15972156775449,20.820583743277982,1670.7689486552567,911.3141809290953,23.99203718887893,21.73686796048767,962.477886977887,856.441031941032,24.497282541140144,21.17521459598388,1091.6188630490956,853.4793281653747,23.246019600568207,21.18942537980843,991.2246376811594,689.4130434782609,24.713141942242416,21.37730674762333,879.5782396088019,616.3068459657702,24.333791015550293,21.409343759046095,906.7189054726368,525.8009950248756,23.907641364175845,21.446669820926456,1033.2506112469437,454.18948655256713,24.521689353198163,21.259194213898283,890.0413533834586,383.5802005012531,24.43722403403563,20.828337079460393,623.5342298288508,112.90831295843532,24.43676500418543,21.329452495140025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,18,830.8255813953489,1486.0968992248063,24.150959679092722,20.40446587499113,997.8157894736842,1485.5415512465374,23.073951972116596,19.941118794694304,1038.2044854881267,1432.6213720316623,23.728269924360845,20.35726014578491,773.9351145038167,1392.265903307888,24.502585144020095,20.432281351488456,983.9625668449198,1386.5561497326203,23.43335464678419,20.323656530400417,810.861038961039,1266.2142857142858,23.873078044059877,20.55398390416943,1158.5425,1204.025,24.370768367102457,20.909011196061794,404.7556962025316,1121.4898734177216,24.029891989523357,20.975394974891636,1071.0825242718447,1022.9029126213593,25.108200026926227,20.93165177323306,1674.0333333333333,946.5938271604938,23.734610743851203,21.77496554890914,961.1265356265357,900.8267813267813,24.91282787088046,20.84317268849507,1090.9173027989823,885.7493638676845,24.21011548932054,20.673951721364947,990.3256658595642,733.5121065375303,24.718837275861937,21.305034708740397,877.858395989975,657.4874686716792,24.124600396484254,21.093089182728352,905.4926108374384,566.5098522167488,24.27898898392685,21.311811089030552,1032.6439205955335,496.72332506203475,24.269687242093028,21.16194867531773,888.3546798029556,427.79064039408877,24.224180617092166,21.38993205475926,620.4734299516908,156.45169082125608,24.64638847811352,21.422022181487037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,16,1037.3951612903227,1472.4166666666667,23.833166437527932,19.929841552639537,772.9362244897959,1433.9234693877552,24.39551033535209,20.467153419696256,984.5378378378379,1425.9783783783785,24.025744806426864,19.625912528995805,807.8229974160207,1303.0684754521965,23.89315072454112,20.65324554382938,1158.0666666666666,1244.7384615384615,24.125505658170464,20.633419917702458,400.6356783919598,1161.572864321608,24.067582091721295,21.08299338108325,1070.388349514563,1066.9587378640776,24.841984346149957,21.14785198788149,1677.2876543209877,981.3271604938271,23.956718583510504,21.54357422782729,959.7326139088728,944.8357314148681,24.904614622321184,21.3325241124432,1090.216883116883,918.1883116883117,23.34887529559658,21.018814159169427,989.4473684210526,777.4114832535885,24.769200602701428,21.51090259888617,876.2512315270936,698.6527093596059,24.228110799604707,21.365454436929195,904.2420924574209,607.1642335766423,24.53786881827055,21.348871148603223,1032.2753086419752,539.2580246913581,24.305176542113788,21.229090300388105,886.6658536585365,471.6975609756098,24.49717759428592,21.34214375703667,617.2246376811594,199.99033816425117,24.63050673577517,21.431562229868227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,15,771.9424552429667,1475.26726342711,24.292232625391804,20.507525046430278,985.1277173913044,1465.2744565217392,23.4120759276541,20.02975535605826,804.9617414248021,1339.6583113456463,23.53975136283942,20.514728939239255,1157.5809399477807,1285.4686684073108,23.788795504800113,20.546803029902605,396.3205128205128,1201.5333333333333,23.895853331887512,20.80196221677673,1069.681592039801,1110.7810945273632,24.883665008645398,20.615080115185666,1680.3320802005012,1016.0739348370928,23.730845785038223,21.434929747814095,958.4306930693069,988.5569306930693,24.306307578433277,21.19231707463115,1089.4460154241644,950.525706940874,23.47020776360262,21.100862216477687,988.4951100244499,821.5244498777506,24.46293613989023,21.324591019868524,874.6240506329113,739.7075949367089,23.650495140450438,21.28152114539157,902.8231552162849,647.8511450381679,23.850036902438212,21.0113313714837,1031.6185185185186,582.0407407407407,24.258281670848064,21.273423356311522,885.0833333333334,515.5656565656566,23.904448707641837,21.148662728112946,614.0618811881188,243.69306930693074,24.573302755759528,20.98679599423735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,13,801.9607329842931,1376.0052356020942,23.80318146598676,20.442261639493818,1157.0848101265822,1326.0037974683544,24.439880662696915,20.584489843987203,392.0984654731458,1241.1291560102302,24.06753140219062,20.73618078665983,1068.9607843137255,1154.421568627451,25.10333370578175,20.71027024272434,1683.30343980344,1050.7113022113022,23.98137661414048,21.626113549423373,957.0121951219512,1032.5268292682927,25.13929544515325,20.79826391047219,1088.7272727272727,982.5631313131313,23.733313358001695,21.25556909909355,987.5281690140845,865.6737089201878,25.25148854429411,21.488028722556365,872.9,781.1296296296297,24.43521458158713,21.12122727761241,901.5579710144928,688.5700483091788,24.540936076377378,21.49950082017808,1031.1771844660195,624.6917475728155,24.807544603125248,21.176099407871053,883.4060240963855,559.6831325301205,24.61423023464353,21.497583664230334,610.9795180722891,287.6036144578313,24.88735764885977,21.28855062227399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
