FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y
28,6,1672.9220963172804,1018.6935788479698,1634.2908834586467,706.9318609022556,1687.3950836289914,685.0489102889002,1569.3362606232295,634.47223796034,802.1708571428571,627.7445714285715,1914.4398663697104,502.47216035634744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,6,1672.3697718631179,1056.8032319391634,1633.6945454545455,745.3595454545455,1687.18620855358,723.1958193176357,1569.1283748014823,674.8202752779248,802.3864981172674,667.1707907477138,1915.697159090909,539.4670454545454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,6,1671.9403491755577,1094.9849660523764,1633.0142222222223,783.6728888888889,1686.8743613562472,762.3360427310729,1569.0706627680313,713.5882066276803,802.9068865179437,704.9709020368574,1917.0482030804335,576.5136908157444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,6,1671.4444444444443,1132.9214559386974,1632.3112626484822,822.2593488781347,1686.570104025328,800.5755314337404,1568.799861814832,752.9311377245509,803.3627180899908,742.4100091827364,1918.2600440286185,613.6871216290589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,6,1670.5651750972763,1170.385214007782,1631.4176211453744,860.7735682819383,1686.1926210955182,839.421231326392,1568.6598746081504,791.8828929690999,803.8476104598737,780.273219116321,1919.3267509215377,651.2098472880464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,6,1670.0272373540856,1207.9678988326848,1630.5881445570735,899.1500661084178,1685.8044070876874,877.989777373921,1568.2894261183912,831.0955716222322,804.4531320414601,818.1665164488509,1920.3466076696166,688.2354965585054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,6,1669.290243902439,1245.0453658536585,1629.7549800796812,937.421646746348,1685.2838827838827,916.4514652014652,1568.012050932242,870.2712596634834,805.1386745347254,856.104630049932,1921.2917254348847,724.8178185237424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,5,1628.6677243880326,975.4759746146872,1684.754638218924,954.8919294990724,1567.584064665127,909.475519630485,805.7896551724137,893.7873563218391,1922.1643389199255,761.7667597765363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,5,1627.7512337371018,1013.5278151637506,1684.2381062355657,993.2311778290994,1567.3327222731439,948.3895508707608,806.5054744525547,931.5647810218978,1922.96251703771,798.3237164925034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,5,1626.7224231464738,1051.379294755877,1683.6677449168208,1031.275415896488,1566.8139054612207,987.2475906379073,807.2841269841269,969.0963718820861,1923.6490428441202,835.0268915223337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
