FrameNr,NumberMidPoints,MidPointX_1,MidPointY_1,Length_1,Width_1,MidPointX_2,MidPointY_2,Length_2,Width_2,MidPointX_3,MidPointY_3,Length_3,Width_3,MidPointX_4,MidPointY_4,Length_4,Width_4,MidPointX_5,MidPointY_5,Length_5,Width_5,MidPointX_6,MidPointY_6,Length_6,Width_6,MidPointX_7,MidPointY_7,Length_7,Width_7,MidPointX_8,MidPointY_8,Length_8,Width_8,MidPointX_9,MidPointY_9,Length_9,Width_9,MidPointX_10,MidPointY_10,Length_10,Width_10,MidPointX_11,MidPointY_11,Length_11,Width_11,MidPointX_12,MidPointY_12,Length_12,Width_12,MidPointX_13,MidPointY_13,Length_13,Width_13,MidPointX_14,MidPointY_14,Length_14,Width_14,MidPointX_15,MidPointY_15,Length_15,Width_15,MidPointX_16,MidPointY_16,Length_16,Width_16,MidPointX_17,MidPointY_17,Length_17,Width_17,MidPointX_18,MidPointY_18,Length_18,Width_18,MidPointX_19,MidPointY_19,Length_19,Width_19,MidPointX_20,MidPointY_20,Length_20,Width_20,MidPointX_21,MidPointY_21,Length_21,Width_21,MidPointX_22,MidPointY_22,Length_22,Width_22,MidPointX_23,MidPointY_23,Length_23,Width_23
93,10,783.5569620253165,1482.496835443038,20.722104760309016,19.444449159394136,695.2371794871794,1452.2339743589744,20.50834067746613,19.390486514247705,937.2593123209169,983.5687679083095,21.36127897113323,20.83087369897759,852.6549707602339,841.219298245614,21.359188587456064,20.423865068815502,731.7478632478633,832.0669515669516,21.331833605577568,20.981083577839932,834.9188790560472,718.0339233038349,21.154218777146227,20.462443860522065,932.447813822285,671.9471086036672,45.062578201065136,21.41287590539898,1106.3347826086956,663.9695652173913,21.510089451874457,20.449318514360925,664.8477011494252,517.4051724137931,21.4657211634554,20.672481653585454,851.8361823361823,242.4401709401709,21.665659107540744,20.65877363771012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,8,936.8303303303303,1023.3468468468468,20.719234072317185,20.492816267477313,851.2558823529412,883.4441176470589,21.442464983596686,20.225047078740353,729.8246376811594,871.4014492753623,21.459687962520608,20.466859469752684,833.7252252252252,758.3708708708708,20.853876964278605,20.356614604791396,931.4380403458214,714.3314121037464,44.82692796860541,21.106873181296166,1105.7396449704142,705.594674556213,21.326511183277148,20.198406401996454,662.8304093567251,559.5555555555555,21.0947104914687,20.678564891915613,850.35,284.4441176470589,21.247982196087623,20.41153924268433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,9,936.3071216617211,1062.986646884273,20.857105372470777,20.650625938104874,849.9188034188035,925.3632478632478,21.8453924422479,20.480643193501777,727.8977272727273,910.875,21.820140949116244,20.571615549491295,832.4279538904899,798.7478386167147,21.51001434645768,20.550910057642383,930.5983146067416,756.8075842696629,45.09691051499287,21.55198183310943,1104.9884393063585,747.0375722543353,21.47389132790723,20.543563894791554,660.7837078651686,601.9578651685393,21.77369038847605,20.83873989152434,849.0925925925926,326.7535612535612,21.935101471562625,20.393814711679283,514.3274932614555,48.95552560646911,22.214735462303008,21.29203708727709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,9,936.0813253012049,1102.5090361445782,20.877029311631922,20.267942859813623,848.8117647058823,967.0117647058823,21.371294290812425,20.285429386320313,726.1618497109827,950.3265895953757,21.545131010983596,20.469478530501277,831.2583081570997,839.309667673716,21.024201872366778,20.068096394512153,929.7034632034632,799.3412698412699,44.676980978024005,21.164749540657148,1104.3072289156626,788.4638554216867,21.10484339746027,20.05880488447361,658.885294117647,644.1529411764706,20.969202777023437,20.679958921285042,847.7848837209302,368.88662790697686,21.328456505043516,20.576848766174113,512.0028571428571,89.92857142857133,21.601914422894666,20.682527857398338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,9,935.685628742515,1141.8952095808384,21.17920432731116,20.11542807734258,847.5057636887608,1008.6585014409222,21.472595930011153,20.62623464690821,724.5227272727273,989.5710227272727,21.75012822918854,20.6084105711734,830.0763688760807,879.5979827089337,21.83302418363574,20.252443484894087,928.9512534818941,841.8440111420613,44.87930018547137,21.662784403590102,1103.7332361516035,829.9198250728863,21.509028875545532,20.333174999776205,656.9571428571429,686.3771428571429,21.489918888729562,20.75856957127878,846.525352112676,411.1732394366197,21.839625063725013,20.722839516135995,509.65384615384613,131.1401098901099,22.028967169973882,21.05067019829433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,9,935.2554179566564,1180.9303405572755,20.6605115123216,19.93884187799554,846.4093655589124,1050.2703927492448,21.21476293642669,19.87889253579235,723.0688622754491,1028.4191616766466,20.973705372962442,20.30651105169655,828.985119047619,919.8303571428571,21.047767503731244,20.33888733397576,928.2028571428572,884.2485714285714,44.748531828150576,21.371052356326132,1103.0481927710844,871.3012048192771,20.98595909492334,20.1662858240621,654.9298245614035,728.5116959064327,21.271335566533278,20.50158038077579,845.1869565217391,453.41304347826076,21.377951925992676,20.573975110639758,507.2849162011173,172.20949720670387,21.719500969866118,21.023123309495883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,9,934.9646153846154,1220.056923076923,20.65424910124505,20.057478027731936,845.3387096774194,1091.623167155425,21.491618280956526,20.242439910780476,721.6173020527859,1067.3181818181818,21.64871291036378,20.082614871741242,827.9228571428572,960.1314285714286,21.806287581951178,20.43749918443184,927.3450899031811,926.9038727524205,44.97977831907973,21.877694633104863,1102.3103448275863,913.0603448275862,21.833875500230018,20.304120437007803,652.8879310344828,770.721264367816,21.334369901660978,20.82103636558327,844.0698005698006,495.58262108262113,21.71751672417466,20.587175843211224,504.9475138121547,213.38674033149164,22.150382602614645,20.82406339933011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,10,934.7428115015974,1258.7012779552715,20.114264399546776,19.83857990788229,844.3102409638554,1132.9156626506024,21.219094018276788,19.95778345926449,720.0783132530121,1105.8584337349398,20.941111180628887,20.20593958753674,826.9850299401197,1000.0329341317365,21.073059129908675,20.22214575339406,926.7353780313838,968.8951497860199,44.70654579688172,21.42152040122402,1101.8126843657817,954.4233038348083,21.270376614903203,20.299845050538114,651.1276276276276,812.6921921921922,21.027756684051433,20.20071556955938,842.8333333333334,537.570796460177,21.194998988822565,20.404888472968274,502.64689265536725,254.59039548022588,21.480508632577678,20.999567249402798,752.2040229885057,28.454022988505812,21.585342210640995,20.573240650757718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,10,934.4842271293376,1297.1624605678232,20.693138119604605,19.554629429393067,843.4787878787879,1174.0181818181818,21.17043590002117,19.911779005410395,718.8081570996978,1144.463746223565,20.886982159498736,20.254429453503743,825.9672619047619,1039.9940476190477,21.09152302724815,20.323255223421295,926.0604551920342,1011.00213371266,44.73442022145619,21.452567261998166,1101.1147058823528,995.5264705882353,21.23154832087791,20.39174232884934,649.2521126760563,855.0661971830986,21.640590152837035,20.92038624580509,841.5114613180516,579.7521489971347,21.541655709125827,20.65941981648657,500.46638655462186,295.84453781512616,21.544868633134794,21.118496459717775,750.1016949152543,70.13276836158184,21.994052996139654,20.53343696777313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,10,934.3365384615385,1335.4102564102564,20.313254734463417,19.60886565821201,842.5521472392638,1214.7453987730062,21.029209856274626,19.780504594871545,717.609756097561,1182.7987804878048,20.876982250688634,20.06802618999027,825.2207207207207,1079.7702702702702,21.117815816356288,20.148536188308242,925.4800569800569,1053.1467236467238,44.69927667815424,21.414773325385596,1100.6656626506024,1036.6114457831325,21.021438878203817,20.119308643008527,647.4206798866855,897.3895184135978,21.573030473451066,20.858274070724416,840.2176470588236,621.95,21.10997460234475,20.54708770407159,498.0779036827195,337.1940509915014,21.70858350305575,20.737489522020095,748.0628571428572,111.69142857142856,21.687854574975155,20.569158621190848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,10,934.1538461538462,1373.4134615384614,20.274432360631668,19.624360840821737,841.75,1255.3333333333333,20.590802941610118,20.05933346128776,716.282208588957,1221.2085889570553,20.630344278104623,20.140642298122614,824.5668693009119,1119.487841945289,20.985375851178876,20.017066427936793,924.936231884058,1094.8985507246377,44.48767981127337,21.2927647136676,1100.0692307692307,1077.4046153846155,20.947433579031866,19.786817659221132,645.8775216138329,939.6729106628242,21.7309927868544,20.357101018947915,839.0621301775147,664.1804733727811,20.991353889480372,20.542040682535145,495.85734870317003,378.36455331412094,21.178974930646284,20.907830428720555,745.9956772334294,153.2463976945246,21.604130610172312,20.49534837140705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,10,934.1451612903226,1411.1645161290323,20.159439731832254,19.606475684377834,840.983076923077,1295.7369230769232,20.737243399508575,20.007214914014696,715.316513761468,1259.203363914373,20.710513915585896,20.129312277358295,823.875,1158.8231707317073,20.695600568041705,20.20903843136082,924.5522496371553,1136.5232220609578,44.27817110136363,21.253210289433767,1099.677370030581,1118.2125382262998,20.772318011478912,20.081949168937708,644.3005698005697,981.5455840455841,21.5296391638531,20.78869175500109,837.8888888888889,706.327485380117,21.054557945480834,20.706448858987105,493.7022471910112,419.6123595505619,21.57574251481243,21.031049301446963,743.8248587570622,194.80225988700568,21.555513457207077,20.93858211150843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,10,934.32,1448.53,19.776231576570254,19.385076681901417,840.4050632911392,1335.996835443038,20.47891123888659,19.669779010626446,714.3213166144201,1296.8761755485893,20.36539221900384,19.966883933031795,823.2819314641745,1198.0794392523364,20.476595999200168,19.982464762464,924.0671641791045,1177.8910447761195,44.416723603777015,20.865525633487543,1099.185534591195,1158.7704402515724,20.549064677167273,19.76312228374452,642.9094955489614,1023.339762611276,21.23023992692641,20.224827434713525,836.7981927710844,748.3132530120482,20.757736179146523,20.383155895365316,491.5571428571429,460.8828571428571,21.28460092494822,20.961385299396948,741.8884057971014,236.25362318840575,21.49094481544883,20.47906254091089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,11,934.3664495114007,1485.685667752443,20.11686289124911,19.477188938427165,839.8079365079365,1375.7253968253967,20.461534289812786,19.631493997088228,713.5155279503106,1334.304347826087,20.66347023511995,19.906169779065173,822.7960725075528,1237.2945619335346,21.103259314098874,19.981728921895936,923.7272069464544,1219.132416787265,44.58333832636143,21.328002324349388,1098.7693498452013,1198.905572755418,20.815215563221262,19.79052383406451,641.5662824207493,1064.9409221902017,21.580318671030046,20.53006561198586,835.5672514619883,790.5233918128655,20.986554202341622,20.783437155405963,489.4585635359116,502.2182320441989,21.83009751103815,21.138452236337894,739.6657303370787,277.79213483146077,21.623264140156895,20.975648110646084,811.2340720221607,30.646814404432234,21.874651661788402,21.050025951182302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
