FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
169,4,578.1849315068494,645.066210045662,1447.6531531531532,527.7927927927927,659.042600896861,376.2399103139013,500.8495575221239,269.5088495575221,NaN,NaN,NaN,NaN,NaN,NaN
170,4,579.0845588235294,683.5735294117648,1447.330357142857,565.875,658.5308370044053,414.2885462555066,501.60043668122273,307.3471615720524,NaN,NaN,NaN,NaN,NaN,NaN
171,4,580.0229357798165,721.454128440367,1446.852422907489,603.9361233480176,658.0584415584416,452.3744588744589,502.4347826086956,344.9043478260869,NaN,NaN,NaN,NaN,NaN,NaN
172,4,581.0535168195719,759.5917431192661,1446.5950226244345,642.0384615384615,657.4909090909091,490.4636363636364,502.9409090909091,382.5818181818182,NaN,NaN,NaN,NaN,NaN,NaN
173,4,582.2716049382716,797.3827160493827,1446.1781609195402,680.5574712643678,657.1086956521739,528.6787439613527,503.6520737327189,420.315668202765,NaN,NaN,NaN,NaN,NaN,NaN
174,4,583.320987654321,835.3734567901234,1445.740506329114,718.2405063291139,656.7608695652174,566.8333333333334,504.4212962962963,458.074074074074,NaN,NaN,NaN,NaN,NaN,NaN
175,4,584.6402985074627,873.0880597014925,1445.32874617737,756.5244648318043,656.316513761468,604.9220183486239,505.34753363228697,495.6838565022422,NaN,NaN,NaN,NaN,NaN,NaN
176,4,585.7312312312313,910.8033033033033,1444.9171428571428,794.0285714285715,656.0414847161572,643.1899563318777,505.98034934497815,533.382096069869,NaN,NaN,NaN,NaN,NaN,NaN
177,4,587.2861445783133,948.1114457831325,1444.3866279069769,831.7906976744187,655.7676579925651,681.596654275093,506.83488372093024,570.9651162790698,NaN,NaN,NaN,NaN,NaN,NaN
178,4,588.6503067484663,985.4785276073619,1443.9553314121038,869.514409221902,655.5433436532508,719.3173374613003,507.7824074074074,608.8981481481482,NaN,NaN,NaN,NaN,NaN,NaN
179,4,590.2391304347826,1022.6459627329193,1443.4585798816568,907.1538461538462,655.4559748427673,757.3396226415094,508.64814814814815,646.6111111111111,NaN,NaN,NaN,NaN,NaN,NaN
180,4,591.7229102167182,1059.7167182662538,1442.9122807017543,944.6111111111111,655.2994011976048,795.0748502994012,509.7386363636364,684.7083333333334,NaN,NaN,NaN,NaN,NaN,NaN
181,4,593.46,1096.583076923077,1442.3250728862974,982.0043731778426,655.311209439528,832.7861356932153,510.6671732522796,721.983282674772,NaN,NaN,NaN,NaN,NaN,NaN
182,4,595.0507692307692,1133.1738461538462,1441.684750733138,1019.1099706744868,655.290909090909,870.5969696969697,511.8711656441718,759.6963190184049,NaN,NaN,NaN,NaN,NaN,NaN
183,4,596.7577639751553,1169.5900621118012,1441.2478005865103,1056.2155425219942,655.3053892215569,908.1497005988024,513.0952380952381,797.2172619047619,NaN,NaN,NaN,NaN,NaN,NaN
184,4,598.4904761904762,1205.9063492063492,1440.496996996997,1093.2327327327328,655.5,945.5,514.442942942943,834.5540540540541,NaN,NaN,NaN,NaN,NaN,NaN
185,5,600.3770226537217,1241.9336569579289,1439.8159509202453,1129.7914110429447,655.6316614420062,982.9012539184953,515.7246153846154,871.936923076923,148.23705179282868,41.79880478087648,NaN,NaN,NaN,NaN
186,5,602.2724358974359,1277.6185897435898,1439.3865030674847,1166.4386503067485,655.848623853211,1020.1238532110092,517.2530120481928,909.3524096385543,147.72779922779924,79.1100386100386,NaN,NaN,NaN,NaN
187,4,1438.5307692307692,1202.7707692307692,656.2507598784194,1057.0410334346504,518.6437308868501,946.3134556574923,147.45817490494298,116.41254752851705,NaN,NaN,NaN,NaN,NaN,NaN
188,4,1437.8496932515338,1238.8220858895706,656.577399380805,1093.9148606811145,520.3066465256798,983.1948640483383,146.9214559386973,153.79118773946357,NaN,NaN,NaN,NaN,NaN,NaN
189,5,1437.2716049382716,1274.6234567901236,657.0214723926381,1130.426380368098,521.811377245509,1020.0628742514971,146.34942084942085,191.09459459459458,57.29026217228464,13.507490636704233,NaN,NaN,NaN,NaN
190,4,657.4937304075235,1166.7978056426332,523.5648148148148,1056.6728395061727,145.90983606557376,228.54508196721304,56.22047244094488,52.45275590551182,NaN,NaN,NaN,NaN,NaN,NaN
191,4,658.077922077922,1203.1818181818182,525.4688473520249,1093.2538940809968,145.41322314049586,265.9876033057851,55.22156862745098,91.55882352941171,NaN,NaN,NaN,NaN,NaN,NaN
192,4,658.6762820512821,1239.0064102564102,527.3266253869969,1129.3885448916408,144.86437246963564,303.5080971659919,54.013513513513516,130.58108108108104,NaN,NaN,NaN,NaN,NaN,NaN
193,4,659.339116719243,1274.8280757097791,529.3385093167702,1165.5217391304348,144.62156862745098,340.9980392156863,53.128352490421456,169.65708812260527,NaN,NaN,NaN,NaN,NaN,NaN
194,3,531.3738461538461,1201.4815384615385,144.25390625,378.3984375,51.99624060150376,208.7593984962407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
195,3,533.3481012658228,1236.9620253164558,143.97430830039525,416.07312252964425,51.21259842519685,247.98425196850394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,3,535.3821656050956,1272.5509554140128,143.77426160337552,453.6392405063291,50.25303643724696,286.96963562753035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
197,2,143.48706896551724,491.1810344827586,49.5,326.23749999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198,2,143.32627118644066,528.8008474576271,48.56147540983606,365.29098360655735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
199,2,142.9918699186992,566.3170731707318,47.59842519685039,404.35826771653547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,2,142.7,604.1244897959184,46.75301204819277,443.5281124497992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
201,2,142.69521912350598,641.8665338645418,45.91152263374486,482.62757201646093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
202,2,142.7736842105263,679.4929824561403,45.302575107296136,521.7274678111588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
203,2,142.92633228840126,716.9137931034483,44.67937219730942,560.9484304932736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
204,2,143.1646884272997,754.4673590504451,44.148979591836735,600.0836734693878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
205,2,143.50291545189503,791.7303206997085,43.7589641434263,639.1334661354582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
206,3,144.15706051873198,829.1801152737753,43.54137931034483,678.4275862068965,727.6422594142259,24.826359832635944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
207,3,144.72543352601156,866.349710982659,43.41588785046729,717.2414330218069,728.,63.40598290598291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
208,3,145.51497005988023,903.3502994011976,43.329850746268654,756.2910447761194,728.2972350230415,102.08986175115206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
209,3,146.22485207100593,940.3757396449704,43.497142857142855,794.9857142857143,728.6160714285714,140.68303571428578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210,3,147.2433628318584,977.2994100294985,43.66524216524216,833.7678062678062,728.792576419214,179.44759825327515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
211,3,148.2485549132948,1014.0809248554913,44.03257790368272,872.2195467422096,729.3086956521739,217.98260869565206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
212,4,149.4467455621302,1050.5828402366865,44.35959885386819,910.8724928366762,729.4568965517242,256.64224137931024,584.8801652892562,46.75206611570252,NaN,NaN,NaN,NaN,NaN,NaN
213,4,150.70178041543028,1086.9836795252227,45.017341040462426,949.0549132947976,729.6294642857143,295.40625,584.8125,84.90178571428578,NaN,NaN,NaN,NaN,NaN,NaN
214,4,152.03012048192772,1123.2710843373493,45.62463768115942,987.3376811594203,729.9641148325359,334.01674641148327,584.8272727272728,123.2227272727273,NaN,NaN,NaN,NaN,NaN,NaN
215,4,153.48176291793314,1159.420972644377,46.427536231884055,1025.523188405797,730.241935483871,372.87327188940094,584.852422907489,161.5528634361233,NaN,NaN,NaN,NaN,NaN,NaN
216,5,155.10542168674698,1195.05421686747,47.410979228486646,1063.5919881305638,730.54,411.6155555555556,584.9304347826087,199.6782608695653,1482.8133047210301,23.6416309012875,NaN,NaN,NaN,NaN
217,5,156.82835820895522,1230.6492537313434,48.373198847262245,1101.2089337175792,730.7869565217392,450.50869565217397,584.9,237.89166666666665,1483.7050209205022,61.55020920502102,NaN,NaN,NaN,NaN
218,5,158.66918429003022,1266.1706948640483,49.75581395348837,1138.7441860465117,731.1192660550458,488.99541284403665,584.9361233480176,276.1607929515419,1484.568376068376,99.51282051282055,NaN,NaN,NaN,NaN
219,4,51.145161290322584,1176.159824046921,731.3847926267281,527.6612903225806,584.8818181818182,314.2590909090909,1485.2885462555066,137.28854625550662,NaN,NaN,NaN,NaN,NaN,NaN
220,4,52.49393939393939,1213.3484848484848,731.8039215686274,566.5294117647059,584.9428571428572,352.4761904761905,1485.9905660377358,175.11320754716985,NaN,NaN,NaN,NaN,NaN,NaN
221,4,54.001474926253685,1250.2345132743362,732.1255924170616,605.2914691943128,584.9082568807339,390.7706422018349,1486.8177570093458,212.99065420560737,NaN,NaN,NaN,NaN,NaN,NaN
222,4,55.6812865497076,1286.8157894736842,732.5044642857143,644.1294642857143,584.9070796460177,428.8185840707964,1487.4736842105262,250.93421052631584,NaN,NaN,NaN,NaN,NaN,NaN
223,3,733.0604395604396,683.4230769230769,584.9755555555555,467.10888888888894,1488.34,288.70888888888885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
224,3,733.4909638554217,721.5963855421687,585.2354260089686,505.3789237668161,1488.9140969162995,326.5528634361234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
225,3,734.1869300911854,760.3297872340426,585.3899082568807,543.683486238532,1489.5366972477063,364.5825688073395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
